HOLEID,HOLEID_LATITUDE,HOLEID_LONGITUDE,PROJECTCODE,EAST,NORTH,RL,DEPTH,TENEMENTID,PROSPECT,STARTDATE,ENDDATE,DDHName,PlannedHoleID,Geologist1,Geologist2,DrillholeStatus,HolePurposeComment,HoleGeneralComment,Drillhole_Coordinateset_D,Drillhole_Best_X_D,Drillhole_Best_Y_D,Drillhole_Best_Z_D,MapSection,LocationGridName,XGridLine,YGridLine,BestGridName_D,WedgeHole,StartDrillingDepth
WC____326___,57.92614005,-104.5522623,WCI,526520.618,6420574.03,464.812,470.4,S-106564,JIGGER,20-Feb-2010,24-Feb-2010,WC-326,,N. Flotte,D. Heasman,Complete,To test on section with drill hole WC-325 for possibility of basement offset as denoted by historical drilling.,Minor structure or alteration in the sandstone.  Graphitic peltitc gneiss with up to 10% graph below unconformity.  Faulting and common reactivation of foliation.  Strong alteration in the form of druzy quartz and bleaching near EOH.  Stopped at bit trip.  623 max downhole gamma.,NAD83_UTMZ13N_DGPS_F,526520.618,6420574.03,464.812,074H15,Jigger 2009,,,NAD83_UTMZ13N,,
WC____327___,57.92263613,-104.5572289,WCI,526229,6420182,466,465.5,S-106564,JIGGER,24-Feb-2010,28-Feb-2010,WC-327,,N. Flotte,A. Doney,Complete,Test 2009 EM conductor and possible unconformity offset as defined by historical drill fences immediately south of WC-327.,Local bleaching in the sandstone.  Poorly fractured sandstone.  Abundant graphite in basement.  Remobolization of graphite with large structural and alteration zone below.  No umin.,NAD83_UTMZ13N_GPS_S,526229,6420182,466,074H15,Jigger 2009,,,NAD83_UTMZ13N,,
WC____328___,57.92263613,-104.5572289,WCI,526229,6420182,466,498,S-106564,JIGGER,28-Feb-2010,06-mars-10,WC-328,,A. Doney,N. Flotte,Complete,Follow-up of structural zone intersected in WC-326.  Test for possible unconformity uranium - similar to CIG-07.,Weak to moderate bleaching through most of the sandstone.  Brittle structural zone from 290 to 322 m with strong bleaching and friablitiy. Minor bleaching in basement at unconformity. Rotated foliation in upper part of basement.  Altered pegmatite with remob quartz.  Drill hole seeems to have over shot unconformity expression of structure seen in the lower part of WC-326.  Low radiometrics in sandstone structure.,NAD83_UTMZ13N_GPS_S,526229,6420182,466,074H15,Jigger 2009,,,NAD83_UTMZ13N,,
WC____329___,58.07215345,-104.5084534,WCI,528997.147,6436847.912,452.85,430.9,S-106557,EASTERN CIGAR TREND,06-mars-10,10-mars-10,WC-329,,D. Heasman,A. Doney,Complete,Infill drilling on Waterbury Lake along strike of the Cigar East uranium mineralization.  Test for Moving Loop EM conductor on Seru Bay.,Fairly regional looking sandstone.  Minor brittle structure and friability in basal sandstone.  Basement is comprised of biotite gneiss with no graphite.  No umin or elevated radiometrics.,NAD83_UTMZ13N_DGPS_S,528997.147,6436847.912,452.85,074I02,CIGAR,,,NAD83_UTMZ13N,,
WC____330___,58.06953871,-104.5084321,WCI,529000.52,6436556.815,452.911,492,S-106557,EASTERN CIGAR TREND,10-mars-10,14-mars-10,WC-330,,A. Doney,A. Doney,Complete,Infill drilling on Seru Bay - east of the Cigar East mineralization.  Drilling to the south to test for possible offset of conductor.,Rare to minor fracturing in sandstone.  Basement comprised of felsic gneisses and pegmatite.  The lower portion of the basement sections is comprised of white pegmatite with locally elevated Ra and a green mineral that is thought to be either green tourmaline - possibly spinel - or beryl.  This pegmatite intersection does correspond to a resistivity high that was previously thought to be due to a stitching error between two different surveys.,NAD83_UTMZ13N_DGPS_S,529000.52,6436556.815,452.911,074I02,CIGAR,,,NAD83_UTMZ13N,,
WC____331___,58.06947464,-104.5123175,WCI,528771.357,6436548.019,454.146,517.8,S-106557,CIGAR EAST,15-mars-10,18-mars-10,WC-331,,D. Heasman,D. Heasman,Complete,Infill drilling on Seru Bay - east of the Cigar East mineralization.  WC-331 was also drilled to test for a possible north-south structure.,The sandstone is moderately fractured with zones of strong fracturing - this is uncommon for the Cigar East area.  Fracutures seem to be striking North-South or Northwest-Southeast.  The upper part of the basement is comprised of psammitic to psammo-peltic gneiss - lithologies are similar to that found in WC-307 to 310.  A pegmatite similar to the one in WC-330 was intersected in the lower part of the basement.,NAD83_UTMZ13N_DGPS_S,528771.357,6436548.019,454.146,074I02,CIGAR,,,NAD83_UTMZ13N,,
WC____332___,58.06740404,-104.5190148,WCI,528377.902,6436314.66,456.619,603,S-106557,CIGAR EAST,18-mars-10,24-mars-10,WC-332,,N. Flotte,N. Flotte,Complete,Follow-up structure and increased illite percentages in the sandstone of WC-311.  Further test south-thrown graphite block.,Bleaching and fracturing in the upper sandstone.  Weakly graphitic basement with pelitic gneiss and minor biotite gneiss.  Elevated Ra below unconformity in remobilized graphitic gneiss. Brittle fault zone near EOH.  Possibly near a cross-cutting fault.,NAD83_UTMZ13N_DGPS_F,528377.902,6436314.66,456.619,074I02,CIGAR,,,NAD83_UTMZ13N,,
WC____333___,58.06740404,-104.5190148,WCI,528377.902,6436314.66,456.619,565.9,S-106557,CIGAR EAST,24-mars-10,29-mars-10,WC-333,,D. Heasman,A. Doney,Complete,Follow-up of WC-332 and historical hole WC-311.  Test for southern extent of graphitic package.  Follow-up structure in the sandstone column of WC-332.  Basement tectonic and alteration seem to be increasing to the south.,Bleaching and structure observed in upper sandstone.  Basement is comprised of weakly graphtic gneisses with minor biotite gneiss at EOH.  Occasional thin zones of brittle deformation throughout much of basement.  Alteration and quartz remob thoughout.  Inequigranular cord graph gn suggests basement is still part of Cigar East conductive package.  Slight Ra elevation in pel gn above cord gn - associated with possible black chlorite alt'n and fractures.,NAD83_UTMZ13N_DGPS_F,528377.902,6436314.66,456.619,074I02,CIGAR,,,NAD83_UTMZ13N,,
WC____334___,58.06740142,-104.5189992,WCI,528378.825,6436314.375,456.568,570,S-106557,CIGAR EAST,29-mars-10,03-Apr-2010,WC-334,,A. Doney,N. Flotte,Complete,Follow up of structure as seen in WC-311 and WC-332.  Test for basement lithologies and for umin.,Sandstone showing common zones of strong fracturing and bleaching.  Increased tectonics and bleaching and friability near the unconformity.  Trace hydro hematite near/above the unconformity.  Basement mainly comprised of pelitic gneiss with varying amount of graphite.  Com pyrite and other sulfides. Occasional cords - typically <1cm.  >1cm cords near bottom of hole.  Mod chl alt through much of basement with local argillization.  No umin or significant brittle structure in the basement aside from thin fault gouges.  Graphite commonly finely disseminated with local strong remoblization graphite along fractures foliation and gouges.  Common leucratic material associated with pelitic gneisses.,NAD83_UTMZ13N_DGPS_F,528378.825,6436314.375,456.568,074I02,CIGAR,,,NAD83_UTMZ13N,,
WC____335___,58.06867174,-104.5199723,WCI,528320.409,6436455.394,458.7218,561,S-106557,CIGAR EAST,03-Apr-2010,07-Apr-2010,WC-335,,N. Flotte,A. Doney,Complete,Infill drilling in Cigar East area.  Test south of WC-306-244 fence - about 100 west of WC-311 uc impact.  Test for continuity of the graphitic package to the south of the mineralization and to the west of the inferred north-south fault.,"Structured and bleached sandstone. Minor reduced grey alteration.  Minor graphite in basement. Strong chlorite alteration.  Mix of pelitic gneiss and granitoids. Not the same as the favorable"" lithological package.  No umin or discreet structure in basement.""",NAD83_UTMZ13N_DGPS_F,528320.409,6436455.394,458.722,074I02,CIGAR,,,NAD83_UTMZ13N,,
WC____336___,58.07144874,-104.5432715,WCI,526943.779,6436755.029,495.07,465,ML 5521,CIGAR,12-Apr-2010,22-Apr-2010,CL-336,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,526943.779,6436755.029,495.07,074I02,,,,NAD83_UTMZ13N,,
WC____337___,58.07125294,-104.543274,WCI,526943.779,6436733.229,495.03,464.7,ML 5521,CIGAR,23-Apr-2010,01-May-2010,CL-337,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,526943.779,6436733.229,495.03,074I02,,,,NAD83_UTMZ13N,,
WC____337A__,58.07125268,-104.5432736,WCI,526943.8,6436733.2,495.03,465,ML 5521,CIGAR,02-May-2010,09-May-2010,CL-337A,,Cameco,Cameco,Complete,,Wedge off of WC-337 at 148.2m.,NAD83_UTMZ13N_DGPS_F,526943.8,6436733.2,495.03,074I02,,,,NAD83_UTMZ13N,,
WC____337B__,58.07125268,-104.5432736,WCI,526943.8,6436733.2,495,464.5,ML 5521,CIGAR,25-janv-11,25-janv-11,CL-337B,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,526943.8,6436733.2,495,074I02,,,,NAD83_UTMZ13N,,
WC____338___,58.07098934,-104.5432278,WCI,526946.7,6436703.9,493.53,465.5,ML 5521,CIGAR,10-May-2010,20-May-2010,CL-338,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,526946.7,6436703.9,493.53,074I02,,,,NAD83_UTMZ13N,,
WC____338A__,58.07098934,-104.5432278,WCI,526946.7,6436703.9,493.53,465,ML 5521,CIGAR,25-janv-11,25-janv-11,CL-338A,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,526946.7,6436703.9,493.53,074I02,,,,NAD83_UTMZ13N,,
WC____339___,58.06875246,-104.5356795,WCI,527393.7,6436457.9,501,490,ML 5521,CIGAR,20-May-2010,22-May-2010,CL-339,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,527393.7,6436457.9,501,074I02,,,,NAD83_UTMZ13N,,
WC____340___,58.07112331,-104.533106,WCI,527543.7,6436722.9,503.6,464.3,ML 5521,CIGAR,22-May-2010,28-May-2010,CL-340,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,527543.7,6436722.9,503.6,074I02,,,,NAD83_UTMZ13N,,
WC____341___,58.07134785,-104.533103,WCI,527543.7,6436747.9,499.8,464.7,ML 5521,CIGAR,30-May-2010,06-juin-10,CL-341,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,527543.7,6436747.9,499.8,074I02,,,,NAD83_UTMZ13N,,
WC____341A__,58.07134785,-104.533103,WCI,527543.7,6436747.9,499.8,465,ML 5521,CIGAR,07-juin-10,12-juin-10,CL-341A,,Cameco,Cameco,Complete,,Wedge off of WC-341 at 95.4m.,NAD83_UTMZ13N_DGPS_F,527543.7,6436747.9,499.8,074I02,,,,NAD83_UTMZ13N,,
WC____341B__,58.07135622,-104.5331101,WCI,527543.279,6436748.829,499.65,464.8,ML 5521,CIGAR,13-Dec-2010,13-Dec-2010,CL-341B,,Cameco,Cameco,Complete,Surface geotech,,NAD83_UTMZ13N_DGPS_F,527543.279,6436748.829,499.65,074I02,,,,NAD83_UTMZ13N,,
WC____342___,58.07170712,-104.5330983,WCI,527543.7,6436787.9,499.8,464.5,ML 5521,CIGAR,12-juin-10,18-juin-10,CL-342,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,527543.7,6436787.9,499.8,074I02,,,,NAD83_UTMZ13N,,
WC____342A__,58.07157239,-104.5331001,WCI,527543.7,6436772.9,491.1,464.5,ML 5521,CIGAR,18-juin-10,23-juin-10,CL-342A,,Cameco,Cameco,Complete,,Wedge off of WC-342 at 58.5m.,NAD83_UTMZ13N_DGPS_F,527543.7,6436772.9,491.1,074I02,,,,NAD83_UTMZ13N,,
WC____342B__,58.07170658,-104.5331022,WCI,527543.474,6436787.839,496.906,465.2,ML 5521,CIGAR,13-Dec-2010,13-Dec-2010,CL-342B,,Cameco,Cameco,Complete,Surface geotech,,NAD83_UTMZ13N_DGPS_F,527543.474,6436787.839,496.906,074I02,,,,NAD83_UTMZ13N,,
WC____343___,58.0723755,-104.5402944,WCI,527118.7,6436859.4,494.73,490,ML 5521,CIGAR,24-juin-10,29-juin-10,CL-343,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,527118.7,6436859.4,494.73,074I02,,,,NAD83_UTMZ13N,,
WC____344___,58.07177516,-104.5394545,WCI,527168.7,6436792.9,487.97,500.9,ML 5521,CIGAR,30-juin-10,05-juil-10,CL-344,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,527168.7,6436792.9,487.97,074I02,,,,NAD83_UTMZ13N,,
WC____345___,58.06821646,-104.5364831,WCI,527346.7,6436397.9,500,490,ML 5521,CIGAR,06-juil-10,12-juil-10,CL-345,,Cameco,Cameco,Complete,New hole added due to Engineering change.,,NAD83_UTMZ13N_DGPS_F,527346.7,6436397.9,500,074I02,,,,NAD83_UTMZ13N,,
WC____346___,58.06955927,-104.5352453,WCI,527418.7,6436547.9,500,491.7,ML 5521,CIGAR,10-juil-10,15-juil-10,CL-346,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,527418.7,6436547.9,500,074I02,,,,NAD83_UTMZ13N,,
WC____347___,58.07121623,-104.5339523,WCI,527493.7,6436732.9,494,464.7,ML 5521,CIGAR,22-juil-10,26-juil-10,CL-347,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,527493.7,6436732.9,494,074I02,,,,NAD83_UTMZ13N,,
WC____347A__,58.07121623,-104.5339523,WCI,527493.7,6436732.9,494,464.7,ML 5521,CIGAR,27-juil-10,02-Aug-2010,CL-347A,,Cameco,Cameco,Complete,Wedge from hole WC-347.,,NAD83_UTMZ13N_DGPS_F,527493.7,6436732.9,494,074I02,,,,NAD83_UTMZ13N,,
WC____348___,58.07175513,-104.5339453,WCI,527493.7,6436792.9,486,464.5,ML 5521,CIGAR,03-Aug-2010,07-Aug-2010,CL-348,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,527493.7,6436792.9,486,074I02,,,,NAD83_UTMZ13N,,
WC____348A__,58.07175513,-104.5339453,WCI,527493.7,6436792.9,486,464.5,ML 5521,CIGAR,08-Aug-2010,14-Aug-2010,CL-348A,,Cameco,Cameco,Complete,Wedge from hole WC-348,,NAD83_UTMZ13N_DGPS_F,527493.7,6436792.9,486,074I02,,,,NAD83_UTMZ13N,,
WC____349___,58.07171332,-104.5347935,WCI,527443.7,6436787.9,481,465,ML 5521,CIGAR,15-Aug-2010,22-Aug-2010,CL-349,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,527443.7,6436787.9,481,074I02,,,,NAD83_UTMZ13N,,
WC____349A__,58.07171332,-104.5347935,WCI,527443.7,6436787.9,481,465,ML 5521,CIGAR,22-Aug-2010,27-Aug-2010,CL-349A,,Cameco,Cameco,Complete,Wedge from hole WC-349.,,NAD83_UTMZ13N_DGPS_F,527443.7,6436787.9,481,074I02,,,,NAD83_UTMZ13N,,
WC____350___,58.07126424,-104.5347993,WCI,527443.7,6436737.9,489,465,ML 5521,CIGAR,27-Aug-2010,30-Aug-2010,CL-350,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,527443.7,6436737.9,489,074I02,,,,NAD83_UTMZ13N,,
WC____350A__,58.07126037,-104.5348091,WCI,527443.124,6436737.465,485.939,465,ML 5521,CIGAR,17-nov-10,17-nov-10,CL-350A,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,527443.124,6436737.465,485.939,074I02,,,,NAD83_UTMZ13N,,
WC____351___,58.07098793,-104.53311,WCI,527543.566,6436707.826,502.508,464.5,ML 5521,CIGAR,03-sept-10,07-sept-10,CL-351,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,527543.566,6436707.826,502.508,074I02,,,,NAD83_UTMZ13N,,
WC____352___,58.07097003,-104.535649,WCI,527393.8,6436704.8,484.024,465,ML 5521,CIGAR,25-janv-11,25-janv-11,CL-352,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,527393.8,6436704.8,484.024,074I02,,,,NAD83_UTMZ13N,,
WC____352A__,58.07097901,-104.5356489,WCI,527393.8,6436705.8,484.024,465.7,ML 5521,CIGAR,25-janv-11,25-janv-11,CL-352A,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,527393.8,6436705.8,484.024,074I02,,,,NAD83_UTMZ13N,,
WC____353___,58.07133751,-104.5422117,WCI,527006.379,6436743.068,496.072,465,ML 5521,CIGAR,13-Dec-2010,13-Dec-2010,CL-353,,Cameco,Cameco,Complete,Surface geotech,,NAD83_UTMZ13N_DGPS_F,527006.379,6436743.068,496.072,074I02,,,,NAD83_UTMZ13N,,
WC____353A__,58.07133779,-104.5422114,WCI,527006.4,6436743.1,495.072,465,ML 5521,CIGAR,25-janv-11,25-janv-11,CL-353A,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,527006.4,6436743.1,495.072,074I02,,,,NAD83_UTMZ13N,,
WC____354___,58.07142216,-104.5411949,WCI,527066.3,6436752.9,493.371,465,ML 5521,CIGAR,25-janv-11,25-janv-11,CL-354,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,527066.3,6436752.9,493.371,074I02,,,,NAD83_UTMZ13N,,
WC____354A__,58.07142216,-104.5411949,WCI,527066.3,6436752.9,493.371,465,ML 5521,CIGAR,25-janv-11,25-janv-11,CL-354A,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,527066.3,6436752.9,493.371,074I02,,,,NAD83_UTMZ13N,,
WC____354B__,58.07142216,-104.5411949,WCI,527066.3,6436752.9,493.371,465,ML 5521,CIGAR,25-janv-11,25-janv-11,CL-354B,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,527066.3,6436752.9,493.371,074I02,,,,NAD83_UTMZ13N,,
WC____354C__,58.07142248,-104.5411954,WCI,527066.267,6436752.936,493.371,465,ML 5521,CIGAR,25-janv-11,25-janv-11,CL-354C,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,527066.267,6436752.936,493.371,074I02,,,,NAD83_UTMZ13N,,
WC____355___,58.07124645,-104.5422163,WCI,527006.179,6436732.929,495,465,ML 5521,CIGAR,25-janv-11,25-janv-11,CL-355,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,527006.179,6436732.929,495,074I02,,,,NAD83_UTMZ13N,,
WC____355A__,58.07124645,-104.5422163,WCI,527006.179,6436732.929,495,465,ML 5521,CIGAR,25-janv-11,25-janv-11,CL-355A,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,527006.179,6436732.929,495,074I02,,,,NAD83_UTMZ13N,,
WC____356___,58.07119991,-104.5437145,WCI,526917.832,6436727.149,493.445,465,ML 5521,CIGAR,25-janv-11,25-janv-11,CL-356,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,526917.832,6436727.149,493.445,074I02,,,,NAD83_UTMZ13N,,
WC____356A__,58.07119991,-104.5437145,WCI,526917.832,6436727.149,493.445,465,ML 5521,CIGAR,25-janv-11,25-janv-11,CL-356A,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,526917.832,6436727.149,493.445,074I02,,,,NAD83_UTMZ13N,,
WC____357___,58.07134176,-104.5436986,WCI,526918.666,6436742.948,493.377,465,ML 5521,CIGAR,25-janv-11,25-janv-11,WC-357,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,526918.666,6436742.948,493.377,074I02,,,,NAD83_UTMZ13N,,
WC____357A__,58.07134176,-104.5436986,WCI,526918.666,6436742.948,493.377,464.5,ML 5521,CIGAR,25-janv-11,25-janv-11,WC-357A,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,526918.666,6436742.948,493.377,074I02,,,,NAD83_UTMZ13N,,
WC____358___,58.07134741,-104.543696,WCI,526918.815,6436743.578,493.783,464.5,ML 5521,CIGAR,25-janv-11,25-janv-11,WC-358,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,526918.815,6436743.578,493.783,074I02,,,,NAD83_UTMZ13N,,
WC____359___,58.0712982,-104.5441227,WCI,526893.679,6436737.929,496.1,464.5,ML 5521,CIGAR,25-janv-11,25-janv-11,WC-359,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,526893.679,6436737.929,496.1,074I02,,,,NAD83_UTMZ13N,,
WC____359A__,58.0712982,-104.5441227,WCI,526893.679,6436737.929,496.1,464.5,ML 5521,CIGAR,25-janv-11,25-janv-11,WC-359A,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,526893.679,6436737.929,496.1,074I02,,,,NAD83_UTMZ13N,,
WC____360___,58.07123426,-104.5445514,WCI,526868.437,6436730.64,491.3,465,ML 5521,CIGAR,25-janv-11,25-janv-11,WC-360,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_DGPS_F,526868.437,6436730.64,491.3,074I02,,,,NAD83_UTMZ13N,,
WC____361___,58.07117777,-104.5356484,WCI,527393.679,6436727.929,483,464.3,ML 5521,CIGAR,28-janv-11,03-Feb-2011,CL-361,,Cameco,Cameco,Complete,Cigar lake surface drilling.,,NAD83_UTMZ13N_LEGACY,527393.679,6436727.929,483,074I02,,,,NAD83_UTMZ13N,,
WC____362___,58.07103376,-104.5331075,WCI,527543.679,6436712.929,501,464.5,ML 5521,CIGAR,05-Feb-2011,10-Feb-2011,CL-362,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_LEGACY,527543.679,6436712.929,501,074I02,,,,NAD83_UTMZ13N,,
WC____362A__,58.07103376,-104.5331075,WCI,527543.679,6436712.929,501,464.5,ML 5521,CIGAR,10-Feb-2011,14-Feb-2011,CL-362A,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_LEGACY,527543.679,6436712.929,501,074I02,,,,NAD83_UTMZ13N,,
WC____363___,58.0712286,-104.5348086,WCI,527443.179,6436733.929,485.94,464.5,ML 5521,CIGAR,16-Feb-2011,25-Feb-2011,CL-363,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_LEGACY,527443.179,6436733.929,485.94,074I02,,,,NAD83_UTMZ13N,,
WC____364___,58.0711564,-104.5339615,WCI,527493.205,6436726.235,494.39,464.5,ML 5521,CIGAR,25-Feb-2011,03-mars-11,CL-364,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_LEGACY,527493.205,6436726.235,494.39,074I02,,,,NAD83_UTMZ13N,,
WC____365___,58.07101837,-104.5333196,WCI,527531.179,6436711.129,499.11,465,ML 5521,CIGAR,04-mars-11,17-mars-11,CL-365,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_LEGACY,527531.179,6436711.129,499.11,074I02,,,,NAD83_UTMZ13N,,
WC____365A__,58.07101809,-104.5333143,WCI,527531.49,6436711.1,499.11,465.5,ML 5521,CIGAR,17-mars-11,22-mars-11,CL-365A,,Cameco,Cameco,Complete,Wedge from CL-365 at 64.3 metres,,NAD83_UTMZ13N_LEGACY,527531.49,6436711.1,499.11,074I02,,,,NAD83_UTMZ13N,,
WC____366___,58.07134895,-104.5333322,WCI,527530.179,6436747.929,494,464.6,ML 5521,CIGAR,23-mars-11,01-Apr-2011,CL-366,,Cameco,Cameco,Complete,,,NAD83_UTMZ13N_LEGACY,527530.179,6436747.929,494,074I02,,,,NAD83_UTMZ13N,,
WC____366A__,58.07134889,-104.5333153,WCI,527531.179,6436747.929,494,464.6,ML 5521,CIGAR,02-Apr-2011,07-Apr-2011,CL-366A,,Cameco,Cameco,Complete,Wedge from CL-366 at 95.5 metres.,,NAD83_UTMZ13N_LEGACY,527531.179,6436747.929,494,074I02,,,,NAD83_UTMZ13N,,
WC____367___,58.0709453,-104.5335296,WCI,527518.844,6436702.909,499.035,509.6,ML 5521,CIGAR,01-janv-11,01-janv-11,CL-367,,,,Complete,,,NAD83_UTMZ13N_LEGACY,527518.844,6436702.909,499.035,074I02,,,,NAD83_UTMZ13N,,
WC____368___,58.07183694,-104.5397944,WCI,527148.602,6436799.641,489.48,464.5,ML 5521,CIGAR,01-janv-11,01-janv-11,CL-368,,,,Complete,,Surface Geotech,NAD83_UTMZ13N_LEGACY,527148.602,6436799.641,489.48,074I02,,,,NAD83_UTMZ13N,,
WC____368A__,58.07183694,-104.5397944,WCI,527148.602,6436799.641,489.48,465,ML 5521,CIGAR,01-janv-11,01-janv-11,CL-368A,,,,Complete,,Surface Geotech,NAD83_UTMZ13N_LEGACY,527148.602,6436799.641,489.48,074I02,,,,NAD83_UTMZ13N,,
WC____369___,58.07146157,-104.5415826,WCI,527043.397,6436757.132,493.043,464.5,ML 5521,CIGAR,01-janv-11,01-janv-11,CL-369,,,,Complete,,Surface Geotech,NAD83_UTMZ13N_LEGACY,527043.397,6436757.132,493.043,074I02,,,,NAD83_UTMZ13N,,
WC____370___,58.0723528,-104.5401169,WCI,527129.183,6436856.944,494.135,476.5,ML 5521,CIGAR,01-janv-11,01-janv-11,CL-370,,,,Complete,,Surface Geotech,NAD83_UTMZ13N_LEGACY,527129.183,6436856.944,494.135,074I02,,,,NAD83_UTMZ13N,,
WC____371___,58.07014112,-104.5636946,WCI,525739.949,6436601.479,475.59,495.05,ML 5521,CIGAR,01-janv-11,01-janv-11,CL-371,,,,Complete,,,NAD83_UTMZ13N_LEGACY,525739.949,6436601.479,475.59,074I02,MINEGRID:CL,,,NAD83_UTMZ13N,,
WC____372___,58.07040928,-104.5645211,WCI,525690.999,6436631.019,473.69,498,ML 5521,CIGAR,01-janv-11,01-janv-11,CL-372,,,,Complete,,,NAD83_UTMZ13N_LEGACY,525690.999,6436631.019,473.69,074I02,MINEGRID:CL,,,NAD83_UTMZ13N,,
WC____373___,58.07040732,-104.5628219,WCI,525791.239,6436631.449,473.03,498.05,ML 5521,CIGAR,01-janv-11,01-janv-11,CL-373,,,,Complete,,,NAD83_UTMZ13N_LEGACY,525791.239,6436631.449,473.03,074I02,MINEGRID:CL,,,NAD83_UTMZ13N,,
WC____374-1_,58.06918227,-104.5615712,WCI,525865.909,6436495.539,474.14,570.05,ML 5521,CIGAR,01-janv-11,01-janv-11,CL-374-1,,,,Complete,,,NAD83_UTMZ13N_LEGACY,525865.909,6436495.539,474.14,074I02,MINEGRID:CL,,,NAD83_UTMZ13N,,
WC____374___,58.06918227,-104.5615712,WCI,525865.909,6436495.539,474.14,397.6,ML 5521,CIGAR,01-janv-11,01-janv-11,CL-374,,,,Complete,,,NAD83_UTMZ13N_LEGACY,525865.909,6436495.539,474.14,074I02,MINEGRID:CL,,,NAD83_UTMZ13N,,
WC____375___,58.06935935,-104.5591611,WCI,526007.959,6436516.179,467.8,546.05,ML 5521,CIGAR,01-janv-11,01-janv-11,CL-375,,,,Complete,,,NAD83_UTMZ13N_LEGACY,526007.959,6436516.179,467.8,074I02,MINEGRID:CL,,,NAD83_UTMZ13N,,
WC____376-1_,58.0691811,-104.5600331,WCI,525956.649,6436495.999,471.01,450,ML 5521,CIGAR,01-janv-11,01-janv-11,CL-376-1,,,,Complete,,,NAD83_UTMZ13N_LEGACY,525956.649,6436495.999,471.01,074I02,MINEGRID:CL,,,NAD83_UTMZ13N,,
WC____376-2_,58.0691811,-104.5600331,WCI,525956.649,6436495.999,471.01,561,ML 5521,CIGAR,01-janv-11,01-janv-11,CL-376-2,,,,Complete,,,NAD83_UTMZ13N_LEGACY,525956.649,6436495.999,471.01,074I02,MINEGRID:CL,,,NAD83_UTMZ13N,,
WC____376___,58.0691811,-104.5600331,WCI,525956.649,6436495.999,471.01,216,ML 5521,CIGAR,01-janv-11,01-janv-11,CL-376,,,,Complete,,,NAD83_UTMZ13N_LEGACY,525956.649,6436495.999,471.01,074I02,MINEGRID:CL,,,NAD83_UTMZ13N,,
WC____377___,58.07024458,-104.5593582,WCI,525995.689,6436614.659,465.93,528,ML 5521,CIGAR,01-janv-11,01-janv-11,CL-377,,,,Complete,,,NAD83_UTMZ13N_LEGACY,525995.689,6436614.659,465.93,074I02,MINEGRID:CL,,,NAD83_UTMZ13N,,
